,exper,wage
0,16,548
1,9,481
2,16,721
3,10,250
4,16,729
5,8,500
6,9,565
7,9,608
8,10,425
9,11,515
10,13,225
11,8,400
12,7,417
13,13,217
14,9,894
15,4,300
16,16,346
17,9,658
18,10,575
19,14,649
20,8,944
21,10,614
22,11,726
23,10,604
24,14,693
25,10,1400
26,8,300
27,8,1800
28,7,413
29,9,632
30,7,208
31,7,457
32,2,824
33,10,577
34,11,255
35,8,962
36,15,944
37,10,1146
38,15,324
39,7,235
40,16,1000
41,11,481
42,11,624
43,17,650
44,6,344
45,2,380
46,6,353
47,6,659
48,5,621
49,7,440
50,8,738
51,14,280
52,8,434
53,9,705
54,9,425
55,6,571
56,8,538
57,10,740
58,13,673
59,16,769
60,6,592
61,9,213
62,12,1563
63,6,774
64,8,600
65,0,693
66,12,570
67,8,433
68,7,538
69,7,627
70,17,481
71,8,545
72,7,576
73,3,700
74,6,788
75,4,1012
76,6,758
77,9,601
78,6,283
79,6,250
80,8,500
81,14,550
82,7,1143
83,7,810
84,10,313
85,1,731
86,3,625
87,4,588
88,6,375
89,7,817
90,10,865
91,7,350
92,5,202
93,13,505
94,7,816
95,2,625
96,8,769
97,4,500
98,4,619
99,12,650
100,4,769
101,8,512
102,7,625
103,11,1111
104,9,721
105,12,1154
106,10,827
107,12,923
108,5,1076
109,15,625
110,8,460
111,4,900
112,5,682
113,6,411
114,8,625
115,8,1005
116,7,725
117,6,750
118,9,529
119,6,972
120,8,472
121,6,325
122,16,875
123,15,625
124,8,337
125,5,481
126,14,650
127,3,383
128,6,962
129,7,615
130,8,702
131,11,635
132,10,200
133,9,817
134,6,577
135,3,466
136,7,924
137,9,793
138,8,635
139,7,570
140,7,705
141,8,635
142,12,694
143,15,615
144,4,462
145,16,865
146,9,737
147,7,1400
148,13,808
149,4,654
150,7,300
151,8,577
152,2,265
153,7,594
154,3,325
155,2,385
156,1,1000
157,4,465
158,6,440
159,5,625
160,4,285
161,7,650
162,6,808
163,6,500
164,4,831
165,13,500
166,9,693
167,9,1100
168,7,763
169,9,795
170,3,333
171,6,409
172,5,865
173,13,888
174,16,673
175,15,700
176,9,250
177,10,625
178,12,417
179,9,576
180,8,613
181,13,700
182,6,450
183,6,500
184,7,514
185,3,250
186,6,315
187,11,375
188,13,457
189,9,275
190,10,951
191,10,1115
192,3,289
193,3,500
194,8,726
195,5,1265
196,3,613
197,10,545
198,9,278
199,10,1442
200,5,995
201,11,700
202,6,577
203,9,858
204,10,686
205,10,832
206,14,633
207,14,689
208,10,769
209,6,385
210,6,450
211,9,615
212,16,682
213,16,670
214,16,800
215,14,505
216,6,1026
217,4,769
218,16,290
219,9,529
220,7,1154
221,13,549
222,8,475
223,8,450
224,4,875
225,4,200
226,7,300
227,3,462
228,12,385
229,11,1282
230,3,588
231,9,600
232,8,500
233,15,440
234,2,467
235,6,929
236,5,556
237,5,438
238,11,600
239,8,575
240,8,389
241,16,795
242,3,471
243,3,202
244,1,200
245,1,350
246,4,375
247,3,481
248,7,962
249,6,423
250,6,500
251,15,450
252,14,476
253,6,136
254,14,575
255,15,577
256,13,310
257,15,700
258,12,1322
259,18,551
260,7,881
261,7,760
262,14,708
263,8,425
264,8,427
265,2,576
266,17,400
267,13,500
268,10,531
269,6,673
270,5,577
271,2,325
272,12,500
273,7,770
274,8,500
275,6,391
276,16,810
277,19,543
278,19,593
279,2,864
280,12,700
281,7,510
282,15,615
283,9,761
284,15,493
285,2,445
286,7,425
287,2,750
288,2,700
289,6,438
290,11,608
291,5,450
292,17,313
293,20,250
294,13,500
295,8,365
296,8,813
297,7,326
298,11,524
299,9,815
300,10,750
301,1,525
302,14,1125
303,10,625
304,5,715
305,13,591
306,4,404
307,10,675
308,7,444
309,6,488
310,19,695
311,7,700
312,6,325
313,10,556
314,8,325
315,7,668
316,7,2404
317,3,758
318,12,986
319,7,577
320,6,286
321,8,231
322,7,513
323,7,615
324,4,700
325,9,714
326,15,701
327,6,462
328,4,868
329,7,917
330,9,1065
331,11,400
332,9,640
333,5,285
334,4,641
335,13,389
336,7,1010
337,6,817
338,4,975
339,11,750
340,3,463
341,10,1387
342,7,577
343,9,401
344,10,320
345,9,514
346,8,208
347,4,1192
348,6,625
349,11,481
350,8,714
351,10,625
352,12,553
353,16,579
354,4,841
355,9,1923
356,4,806
357,11,344
358,14,962
359,14,600
360,10,837
361,2,625
362,6,563
363,6,1410
364,7,480
365,6,600
366,13,300
367,10,505
368,5,417
369,6,300
370,3,865
371,3,300
372,14,721
373,16,856
374,14,738
375,8,1058
376,14,529
377,17,572
378,14,805
379,14,400
380,5,962
381,3,817
382,9,740
383,6,721
384,0,913
385,4,379
386,6,350
387,16,694
388,14,1014
389,10,1136
390,6,1709
391,8,529
392,9,673
393,5,1010
394,4,846
395,10,710
396,4,820
397,6,447
398,4,500
399,9,1049
400,5,1202
401,15,690
402,6,648
403,11,875
404,2,548
405,15,600
406,13,2244
407,13,1442
408,16,320
409,9,1262
410,6,600
411,9,300
412,2,538
413,15,744
414,15,846
415,7,813
416,10,1000
417,4,561
418,2,285
419,5,437
420,6,325
421,6,580
422,4,588
423,5,801
424,5,312
425,11,250
426,6,500
427,15,750
428,12,343
429,7,250
430,2,700
431,7,400
432,4,555
433,7,699
434,4,1923
435,8,1216
436,7,615
437,5,745
438,2,458
439,1,647
440,7,745
441,3,815
442,9,865
443,10,542
444,8,365
